title,genre,console,year,month,total_sales
Minecraft: Story Mode,Adventure,PS4,2015,10,0.87
Tom Clancy's Rainbow Six: Siege,Shooter,PS4,2015,12,4.36
Assassin's Creed Syndicate,Action,PS4,2015,10,3.6
Tom Clancy's Rainbow Six: Siege,Shooter,XOne,2015,12,2.71
Assassin's Creed Syndicate,Action,XOne,2015,10,1.44
Borderlands: The Handsome Collection,Shooter,PS4,2015,3,1.28
Evolve,Shooter,PS4,2015,2,1.01
NBA 2K16,Sports,PS4,2015,9,3.98
NBA 2K16,Sports,XOne,2015,9,2.41
FIFA 16,Sports,PS4,2015,9,8.22
Madden NFL 16,Sports,PS4,2015,8,3.3
FIFA 16,Sports,XOne,2015,9,3.25
Madden NFL 16,Sports,XOne,2015,8,2.47
NHL 16,Sports,PS4,2015,9,0.66
Call of Duty: Black Ops 3,Shooter,PS4,2015,11,15.09
Call of Duty: Black Ops 3,Shooter,XOne,2015,11,7.37
Destiny: The Taken King,Shooter,PS4,2015,9,2.18
Destiny: The Taken King,Shooter,XOne,2015,9,1.27
Guitar Hero Live,Music,PS4,2015,10,1.21
Guitar Hero Live,Music,XOne,2015,10,0.83
Deadpool,Action,PS4,2015,11,0.47
Skylanders: SuperChargers,Action-Adventure,PS4,2015,9,0.45
F1 2015,Racing,PS4,2015,7,0.68
Just Cause 3,Action-Adventure,PS4,2015,12,1.98
Just Cause 3,Action-Adventure,XOne,2015,12,1.01
Final Fantasy X / X-2 HD Remaster,Role-Playing,PS4,2015,5,0.9
Star Wars Battlefront (2015),Shooter,PS4,2015,11,8.03
Star Wars Battlefront (2015),Shooter,XOne,2015,11,4.15
Need for Speed (2015),Racing,PS4,2015,11,2.72
Battlefield: Hardline,Shooter,PS4,2015,3,2.15
Battlefield: Hardline,Shooter,XOne,2015,3,1.24
Rory McIlroy PGA Tour,Sports,PS4,2015,7,0.55
Project CARS,Racing,PS4,2015,5,1.28
Fallout 4,Role-Playing,PS4,2015,11,8.48
Fallout 4,Role-Playing,XOne,2015,11,5.03
The Elder Scrolls Online: Tamriel Unlimited,MMO,PS4,2015,6,2.05
The Elder Scrolls Online: Tamriel Unlimited,MMO,XOne,2015,6,1.38
WWE 2K16,Sports,PS4,2015,10,1.29
Rock Band 4,Music,XOne,2015,10,0.75
Rock Band 4,Music,PS4,2015,10,0.57
Batman: Arkham Knight,Action,PS4,2015,6,4.11
Dying Light,Action,PS4,2015,1,2.45
Disney Infinity 3.0,Action,PS4,2015,8,0.85
The Order: 1886,Shooter,PS4,2015,2,1.62
Metal Gear Solid V: The Phantom Pain,Action,PS4,2015,9,3.04
